date,state,death,negative,positive,totalTestResults
2021-02-19,PR,1947.0,305972.0,98624.0,404596.0
2021-02-19,RI,2376.0,655694.0,123145.0,2853784.0
2021-02-19,SC,8213.0,4282791.0,497937.0,4780728.0
2021-02-19,SD,1853.0,305524.0,111018.0,416542.0
2021-02-19,TN,11064.0,6013371.0,762673.0,6776044.0
2021-02-19,TX,40986.0,,2577131.0,19212601.0
2021-02-19,UT,1834.0,1504344.0,365256.0,2780070.0
2021-02-19,VA,7098.0,,559930.0,5703634.0
2021-02-19,VI,25.0,43359.0,2565.0,45924.0
2021-02-19,VT,193.0,308771.0,14251.0,1003258.0
2021-02-19,WA,4803.0,,332007.0,5025294.0
2021-02-19,WI,6852.0,2584375.0,610974.0,6628082.0
2021-02-19,WV,2248.0,1996423.0,129055.0,2125478.0
2021-02-19,WY,662.0,178648.0,53683.0,620388.0
2021-02-18,AK,288.0,,55009.0,1619459.0
2021-02-18,AL,9424.0,1863597.0,484365.0,2243392.0
2021-02-18,AR,5323.0,2346008.0,314445.0,2595004.0
2021-02-18,AS,0.0,2140.0,0.0,2140.0
2021-02-18,AZ,15276.0,2906702.0,802198.0,7306669.0
2021-02-18,CA,47924.0,,3421720.0,46504255.0
2021-02-18,CO,5864.0,2121224.0,417415.0,5926792.0
2021-02-18,CT,7496.0,,271903.0,6053550.0
2021-02-18,DC,992.0,,39301.0,1181162.0
2021-02-18,DE,1326.0,528642.0,83852.0,1335597.0
2021-02-18,FL,29990.0,8929261.0,1816108.0,20843123.0
2021-02-18,GA,16403.0,,976732.0,6963712.0
2021-02-18,GU,130.0,106621.0,7705.0,114326.0
2021-02-18,HI,428.0,,27717.0,1049298.0
2021-02-18,IA,5321.0,1019327.0,276229.0,1295556.0
2021-02-18,ID,1817.0,489866.0,168353.0,626676.0
2021-02-18,IL,22297.0,16219673.0,1168683.0,17388356.0
2021-02-18,IN,12281.0,2413132.0,652210.0,7650673.0
2021-02-18,KS,4521.0,940581.0,288717.0,1229298.0
2021-02-18,KY,4373.0,,392729.0,3786674.0
2021-02-18,LA,9406.0,4956423.0,421846.0,5378269.0
2021-02-18,MA,15686.0,4258278.0,563976.0,15240866.0
2021-02-18,MD,7661.0,2944984.0,373966.0,7555013.0
2021-02-18,ME,655.0,1499401.0,43090.0,1542491.0
2021-02-18,MI,16251.0,9335801.0,633973.0,9969774.0
2021-02-18,MN,6404.0,2932333.0,476292.0,6661749.0
2021-02-18,MO,7695.0,1828169.0,473459.0,4359840.0
2021-02-18,MP,2.0,17429.0,135.0,17564.0
2021-02-18,MS,6531.0,1393383.0,289532.0,1682915.0
2021-02-18,MT,1337.0,940378.0,98100.0,1038478.0
2021-02-18,NC,10766.0,9042490.0,833423.0,9875913.0
2021-02-18,ND,1465.0,301973.0,99034.0,1387253.0
2021-02-18,NE,2025.0,754169.0,198042.0,2290311.0
2021-02-18,NH,1150.0,567795.0,72399.0,1386911.0
2021-02-18,NJ,22721.0,9502664.0,758451.0,10261115.0
2021-02-18,NM,3580.0,2393947.0,181739.0,2575686.0
2021-02-18,NV,4805.0,1096898.0,289880.0,2642893.0
2021-02-18,NY,37556.0,,1555773.0,35739542.0
2021-02-18,OH,16611.0,,947389.0,9691429.0
2021-02-18,OK,4112.0,2987185.0,416476.0,3403661.0
2021-02-18,OR,2143.0,,151257.0,3431911.0
2021-02-18,PA,23413.0,3799916.0,905995.0,9991280.0
2021-02-18,PR,1940.0,305972.0,98506.0,404478.0
2021-02-18,RI,2367.0,654308.0,122859.0,2832361.0
2021-02-18,SC,8155.0,4257415.0,495044.0,4752459.0
2021-02-18,SD,1847.0,304951.0,110871.0,415822.0
2021-02-18,TN,11057.0,6004738.0,761301.0,6766039.0
2021-02-18,TX,40814.0,,2574194.0,18810731.0
2021-02-18,UT,1813.0,1500999.0,364399.0,2772120.0
2021-02-18,VA,7090.0,,557896.0,5679834.0
2021-02-18,VI,25.0,42890.0,2558.0,45448.0
2021-02-18,VT,193.0,307714.0,14149.0,990931.0
2021-02-18,WA,4759.0,,330807.0,4997740.0
2021-02-18,WI,6816.0,2579840.0,610055.0,6599391.0
2021-02-18,WV,2236.0,1987345.0,128760.0,2116105.0
2021-02-18,WY,662.0,178389.0,53531.0,617468.0
2021-02-17,AK,288.0,,54799.0,1611971.0
2021-02-17,AL,9346.0,1859516.0,483167.0,2238301.0
2021-02-17,AR,5313.0,2344576.0,314192.0,2593431.0
2021-02-17,AS,0.0,2140.0,0.0,2140.0
2021-02-17,AZ,15063.0,2901236.0,801055.0,7281277.0
2021-02-17,CA,47507.0,,3416147.0,46384932.0
2021-02-17,CO,5838.0,2116607.0,416174.0,5896201.0
2021-02-17,CT,7476.0,,271356.0,6028597.0
2021-02-17,DC,985.0,,39180.0,1177467.0
2021-02-17,DE,1316.0,527622.0,83581.0,1333004.0
2021-02-17,FL,29824.0,8909885.0,1811078.0,20769797.0
2021-02-17,GA,16273.0,,973247.0,6914772.0
2021-02-17,GU,130.0,106231.0,7703.0,113934.0
2021-02-17,HI,427.0,,27652.0,1041656.0
2021-02-17,IA,5306.0,1017619.0,275713.0,1293332.0
2021-02-17,ID,1806.0,488806.0,167945.0,625319.0
2021-02-17,IL,22224.0,16154097.0,1166717.0,17320814.0
2021-02-17,IN,12250.0,2410555.0,651453.0,7624956.0
2021-02-17,KS,4521.0,940581.0,288717.0,1229298.0
2021-02-17,KY,4336.0,,391772.0,3780152.0
2021-02-17,LA,9391.0,4946074.0,421018.0,5367092.0
2021-02-17,MA,15623.0,4249632.0,561936.0,15140864.0
2021-02-17,MD,7630.0,2938416.0,372980.0,7519063.0
2021-02-17,ME,654.0,1492076.0,42872.0,1534948.0
2021-02-17,MI,16160.0,9304200.0,632772.0,9936972.0
2021-02-17,MN,6390.0,2925345.0,475379.0,6630126.0
2021-02-17,MO,7470.0,1825761.0,472741.0,4350392.0
2021-02-17,MP,2.0,17429.0,135.0,17564.0
2021-02-17,MS,6524.0,1393383.0,289398.0,1682781.0
2021-02-17,MT,1334.0,934428.0,97900.0,1032328.0
2021-02-17,NC,10670.0,8990700.0,829507.0,9820207.0
2021-02-17,ND,1461.0,301563.0,98901.0,1384149.0
2021-02-17,NE,2018.0,753207.0,197746.0,2279925.0
2021-02-17,NH,1148.0,567204.0,71965.0,1377103.0
2021-02-17,NJ,22632.0,9409262.0,755174.0,10164436.0
2021-02-17,NM,3562.0,2386545.0,181332.0,2567877.0
2021-02-17,NV,4774.0,1094532.0,289392.0,2634991.0
2021-02-17,NY,37440.0,,1548979.0,35523811.0
2021-02-17,OH,16513.0,,945107.0,9671588.0
2021-02-17,OK,4089.0,2984643.0,415858.0,3400501.0
2021-02-17,OR,2138.0,,150875.0,3419985.0
2021-02-17,PA,23319.0,3791021.0,902650.0,9945410.0
2021-02-17,PR,1930.0,305972.0,98428.0,404400.0
2021-02-17,RI,2352.0,652800.0,122440.0,2810326.0
2021-02-17,SC,8117.0,4237377.0,492369.0,4729746.0
2021-02-17,SD,1844.0,304204.0,110685.0,414889.0
2021-02-17,TN,10985.0,5994830.0,760303.0,6755133.0
2021-02-17,TX,40717.0,,2571063.0,18810731.0
2021-02-17,UT,1806.0,1496497.0,363248.0,2760128.0
2021-02-17,VA,7075.0,,555592.0,5653212.0
2021-02-17,VI,25.0,42724.0,2545.0,45269.0
2021-02-17,VT,191.0,307199.0,13996.0,987188.0
2021-02-17,WA,4709.0,,329746.0,4967466.0
2021-02-17,WI,6798.0,2575026.0,609189.0,6563379.0
2021-02-17,WV,2225.0,1977797.0,128405.0,2106202.0
2021-02-17,WY,662.0,178042.0,53450.0,615337.0
2021-02-16,AK,287.0,,54736.0,1605827.0
2021-02-16,AL,9257.0,1857088.0,482488.0,2235457.0
2021-02-16,AR,5287.0,2340563.0,313525.0,2589008.0
2021-02-16,AS,0.0,2140.0,0.0,2140.0
2021-02-16,AZ,14981.0,2896644.0,799740.0,7261560.0
2021-02-16,CA,47107.0,,3412057.0,46227725.0
2021-02-16,CO,5828.0,2112499.0,415037.0,5869369.0
2021-02-16,CT,7449.0,,270822.0,6004931.0
2021-02-16,DC,982.0,,39131.0,1172768.0
2021-02-16,DE,1291.0,526389.0,83369.0,1327849.0
2021-02-16,FL,29659.0,8881123.0,1803893.0,20666077.0
2021-02-16,GA,16174.0,,969702.0,6895381.0
2021-02-16,GU,130.0,105753.0,7701.0,113454.0
2021-02-16,HI,426.0,,27623.0,1039472.0
2021-02-16,IA,5263.0,1015686.0,275247.0,1290933.0
2021-02-16,ID,1803.0,486204.0,167483.0,622353.0
2021-02-16,IL,22199.0,16105955.0,1164922.0,17270877.0
2021-02-16,IN,12231.0,2406968.0,650530.0,7593841.0
2021-02-16,KS,4406.0,936782.0,287450.0,1224232.0
2021-02-16,KY,4318.0,,390762.0,3773578.0
2021-02-16,LA,9325.0,4925404.0,420394.0,5345798.0
2021-02-16,MA,15567.0,4242966.0,560576.0,15057893.0
2021-02-16,MD,7612.0,2933581.0,372221.0,7495908.0
2021-02-16,ME,651.0,1454519.0,42768.0,1497287.0
2021-02-16,MI,16149.0,9276991.0,631532.0,9908523.0
2021-02-16,MN,6380.0,2920955.0,474621.0,6611756.0
2021-02-16,MO,7458.0,1823860.0,472143.0,4343306.0
2021-02-16,MP,2.0,17429.0,134.0,17563.0
2021-02-16,MS,6501.0,1393383.0,288714.0,1682097.0
2021-02-16,MT,1331.0,930620.0,97666.0,1028286.0
2021-02-16,NC,10562.0,8962393.0,826340.0,9788733.0
2021-02-16,ND,1461.0,301091.0,98781.0,1381170.0
2021-02-16,NE,2004.0,751687.0,197447.0,2257793.0
2021-02-16,NH,1136.0,566316.0,71215.0,1370889.0
2021-02-16,NJ,22497.0,9333715.0,751065.0,10084780.0
2021-02-16,NM,3550.0,2375454.0,181060.0,2556514.0
2021-02-16,NV,4733.0,1090831.0,289029.0,2626777.0
2021-02-16,NY,37328.0,,1542887.0,35353848.0
2021-02-16,OH,16453.0,,943291.0,9654714.0
2021-02-16,OK,4061.0,2957605.0,414780.0,3372385.0
2021-02-16,OR,2137.0,,150464.0,3384703.0
2021-02-16,PA,23126.0,3783099.0,899237.0,9910886.0
2021-02-16,PR,1924.0,305972.0,98317.0,404289.0
2021-02-16,RI,2344.0,651027.0,122072.0,2790996.0
2021-02-16,SC,8055.0,4228478.0,490453.0,4718931.0
2021-02-16,SD,1844.0,303918.0,110593.0,414511.0
2021-02-16,TN,10954.0,5987407.0,759523.0,6746930.0
2021-02-16,TX,40645.0,,2567297.0,18810731.0
2021-02-16,UT,1797.0,1492685.0,362347.0,2750915.0
2021-02-16,VA,7037.0,,553308.0,5633818.0
2021-02-16,VI,25.0,42590.0,2542.0,45132.0
2021-02-16,VT,191.0,305977.0,13917.0,977567.0
2021-02-16,WA,4675.0,,328047.0,4896154.0
2021-02-16,WI,6788.0,2570798.0,608418.0,6531839.0
2021-02-16,WV,2216.0,1969838.0,128117.0,2097955.0
2021-02-16,WY,662.0,177815.0,53351.0,614356.0
2021-02-15,AK,282.0,,54282.0,1584548.0
2021-02-15,AL,9244.0,1853838.0,481605.0,2231641.0
2021-02-15,AR,5275.0,2338955.0,313348.0,2587306.0
2021-02-15,AS,0.0,2140.0,0.0,2140.0
2021-02-15,AZ,14978.0,2891627.0,798608.0,7243068.0
2021-02-15,CA,47043.0,,3406365.0,45964127.0
2021-02-15,CO,5826.0,2110671.0,414369.0,5861313.0
2021-02-15,CT,7447.0,,270242.0,5986619.0
2021-02-15,DC,980.0,,39001.0,1172768.0
2021-02-15,DE,1283.0,526084.0,83239.0,1323091.0
2021-02-15,FL,29434.0,8855691.0,1797728.0,20575446.0
